STUDENT,YEAR,COURSE,SCHOOL YR,SEMESTER,LECTURE DAYS,LECTURE HRS,DISCUSSION DAY,DISCUSSION HR,PS 1,PS 2,PS 3,LE1,LE2,LE3,LE4,Fi0l Grade,Numerical,,,,,,,,,,
79,2023,BS ChE,2023-2024,2nd,"T,Th",7:00-8:30,F,7:00-8:00,30,30,30,16,19,16,0,67.50,2.25,,,,,,,,,,
80,2023,BS CS,2023-2024,2nd,"T,Th",7:00-8:30,F,7:00-8:00,28,28,30,22,25,22,24,84.17,1.50,,,,,,,,,,
81,2023,BS CS,2023-2024,2nd,"T,Th",7:00-8:30,F,7:00-8:00,28,17,25,17,18,15,24,74.06,2.00,,,,,,,,,,
82,2023,BS CS,2023-2024,2nd,"T,Th",7:00-8:30,F,7:00-8:00,28,25,29,22,20,21,25,81.67,1.50,,,,,,,,,,
83,2023,BS CS,2023-2024,2nd,"T,Th",7:00-8:30,F,7:00-8:00,25,22,14,20,23,15,0,70.60,2.00,,,,,,,,,,
84,2023,BS IE,2023-2024,2nd,"T,Th",7:00-8:30,F,7:00-8:00,25,28,29,15,12,14,0,57.31,2.75,,,,,,,,,,
85,2023,BS CS,2023-2024,2nd,"T,Th",7:00-8:30,F,7:00-8:00,28,23,28,23,22,16,0,75.83,1.75,,,,,,,,,,
86,2023,BS CE,2023-2024,2nd,"T,Th",7:00-8:30,F,7:00-8:00,30,30,29,20,17,13,17,69.90,2.25,,,,,,,,,,
87,2023,BS CS,2023-2024,2nd,"T,Th",7:00-8:30,F,7:00-8:00,27,25,25,22,22,17,24,80.71,1.50,,,,,,,,,,
88,2023,BS ME,2023-2024,2nd,"T,Th",7:00-8:30,F,7:00-8:00,29,29,29,15,19,11,0,62.12,2.50,,,,,,,,,,
89,2023,BS CS,2023-2024,2nd,"T,Th",7:00-8:30,F,7:00-8:00,29,29,27,27,20,22,26,86.36,1.25,,,,,,,,,,
90,2023,BS CS,2023-2024,2nd,"T,Th",7:00-8:30,F,7:00-8:00,29,21,25,20,20,21,0,75.83,1.75,,,,,,,,,,
91,2023,BS IE,2023-2024,2nd,"T,Th",7:00-8:30,F,7:00-8:00,28,30,27,14,16,6,0,53.48,3.00,,,,,,,,,,
92,2014,BS Arch,2023-2024,2nd,"T,Th",7:00-8:30,F,7:00-8:00,29,29,18,16,16,18,0,65.52,2.25,,,,,,,,,,
93,2023,BS CS,2023-2024,2nd,"T,Th",7:00-8:30,F,7:00-8:00,29,29,30,27,26,21,25,90.00,1.00,,,,,,,,,,
94,2023,BS CS,2023-2024,2nd,"T,Th",7:00-8:30,F,7:00-8:00,17,18,23,11,11,15,0,50.61,3.00,,,,,,,,,,
95,2023,BS CS,2023-2024,2nd,"T,Th",7:00-8:30,F,7:00-8:00,27,28,29,14,25,16,20,74.79,2.00,,,,,,,,,,
96,2023,BS IE,2023-2024,2nd,"T,Th",7:00-8:30,F,7:00-8:00,29,29,30,18,16,19,0,68.83,2.25,,,,,,,,,,
97,2023,BS MetE,2023-2024,2nd,"T,Th",7:00-8:30,F,7:00-8:00,30,30,29,11,9,12,17,53.67,3.00,,,,,,,,,,
98,2023,BS Math,2023-2024,2nd,"T,Th",8:30-10:00,F,8:45-9:45,30,18,17,21,18,18,0,68.68,2.25,,,,,,,,,,
99,2022,BS Arch,2023-2024,2nd,"T,Th",8:30-10:00,F,8:45-9:45,30,29,30,12,11,13,12,55.08,2.75,,,,,,,,,,
100,2022,BS Arch,2023-2024,2nd,"T,Th",8:30-10:00,F,8:45-9:45,30,30,30,12,7,13,11,53.83,3,,,,,,,,,,
101,2021,BS Arch,2023-2024,2nd,"T,Th",8:30-10:00,F,8:45-9:45,30,20,30,13,9,13,0,51.56,3,,,,,,,,,,
102,2023,BS Math,2023-2024,2nd,"T,Th",8:30-10:00,F,8:45-9:45,30,23,20,16,7,16,0,54.98,3,,,,,,,,,,
103,2023,BS Math,2023-2024,2nd,"T,Th",8:30-10:00,F,8:45-9:45,30,22,25,14,13,20,0,63.61,2.5,,,,,,,,,,
104,2023,BS Math,2023-2024,2nd,"T,Th",8:30-10:00,F,8:45-9:45,30,25,22,21,23,20,24,81.67,1.5,,,,,,,,,,
105,2022,BS Arch,2023-2024,2nd,"T,Th",8:30-10:00,F,8:45-9:45,30,30,30,11,12,12,0,52.55,3,,,,,,,,,,
106,2023,BS Math,2023-2024,2nd,"T,Th",8:30-10:00,F,8:45-9:45,30,28,22,14,16,18,20,69.88,2.25,,,,,,,,,,
107,2022,BS Arch,2023-2024,2nd,"T,Th",8:30-10:00,F,8:45-9:45,30,29,30,10,9,6,11,47.50,4,,,,,,,,,,
108,2022,BS Arch,2023-2024,2nd,"T,Th",8:30-10:00,F,8:45-9:45,30,30,30,10,11,8,11,48.58,4,,,,,,,,,,
109,2021,BS Arch,2023-2024,2nd,"T,Th",8:30-10:00,F,8:45-9:45,20,8,0,13,8,10,0,35.07,5,,,,,,,,,,
110,2022,BS Arch,2023-2024,2nd,"T,Th",8:30-10:00,F,8:45-9:45,30,30,28,11,21,9,0,57.61,2.75,,,,,,,,,,
